"","Age","Country","TRAD_F_1","TRAD_F_2","TRAD_F_3","TRAD_F_4","TRAD_F_5","TRAD_F_6","TRAD_F_7","TRAD_F_8","TRAD_F_9","TRAD_F_10","TRAD_F_11","TRAD_F_12","TRAD_M_13","TRAD_M_14","TRAD_M_15","TRAD_M_16","TRAD_M_17","TRAD_M_18","SEX_BIN","ATG1R","ATG2R","ATG3R","ATG4R","ATG5R","ATL1R","ATL2R","ATL3R","ATL4R","ATL5R","SSM","SSP","CONTBIN","ATTGL","GRTRAD","REL_1rec","REL_2rec","RELIGIOSITY_NEW","ATT_GAY","ATT_LESB","ATT_GL","Numb_Contacts","Meanqual","RELIGIOSITY","Contact2"
"9373",24,"Belgium",4,4,3,3,4,3,4,4,4,4,3,3,4,4,3,3,3,4,"Female",4,3,3,3,3,3,3,3,3,3,5,4,"Contact",3.1,3.53333333333333,3,4,2.8,3.2,3,3.1,6,3,2.8,3
"9374",18,"Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,"Contact",NA,NA,2,NA,1,NA,NA,NA,2,4,1,3
"9375",21,"Belgium",5,5,1,2,5,3,5,5,5,2,5,4,2,2,3,5,2,4,"Female",4,4,2,4,3,4,4,2,4,3,5,5,"Contact",3.4,3.6,2,3,1.7,3.4,3.4,3.4,3,4,1.7,4.5
"9376",30,"Belgium",5,1,1,1,4,2,6,1,3,1,1,1,5,4,2,4,1,3,"Female",4,4,4,4,3,4,4,4,4,3,6,6,"Contact",3.8,2.73333333333333,2,2,1.1,3.8,3.8,3.8,6,3,1.1,3
"9377",21,"Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female",4,4,2,4,4,4,4,2,4,4,5,3,"Contact",3.6,NA,3,3,2.2,3.6,3.6,3.6,8,3,2.2,4
"9378",24,"Belgium",2,3,1,1,3,1,4,4,4,4,2,3,5,4,3,4,3,4,"Female",4,4,3,4,3,4,4,3,4,3,6,5,"Contact",3.6,2.93333333333333,2,3,1.7,3.6,3.6,3.6,2,4,1.7,3
"9379",18,"Belgium",4,3,2,1,5,2,6,2,3,4,1,3,3,4,3,3,4,2,"Female",4,4,3,3,4,4,4,3,3,4,5,5,"Contact",3.6,3.13333333333333,3,4,2.8,3.6,3.6,3.6,13,3.66666666666667,2.8,15.1666666666667
"9380",NA,"Belgium",5,3,3,2,5,2,4,2,3,1,4,3,4,4,1,3,4,4,"Female",4,4,2,4,4,4,4,3,4,4,6,5,"Contact",3.7,3.13333333333333,3,4,2.8,3.6,3.8,3.7,14,4.33333333333333,2.8,25.6666666666667
"9381",21,"Belgium",1,1,1,1,1,1,4,1,4,1,1,1,4,1,1,1,1,1,"Female",4,4,2,4,4,NA,4,2,4,4,6,5,"Contact",3.55555555555556,1.6,2,2,1.1,3.6,3.5,3.55,3,3,1.1,1.5
"9382",NA,"Belgium",4,4,1,2,4,2,4,3,4,2,3,3,4,4,3,3,3,3,"Female",3,4,NA,3,4,3,4,NA,3,4,6,5,"Contact",3.5,3.13333333333333,3,4,2.8,3.5,3.5,3.5,2,4,2.8,3
"9383",27,"Belgium",3,3,3,2,4,2,3,3,2,3,3,2,3,3,4,4,3,4,"Female",4,3,3,3,4,4,4,3,4,4,6,5,"Contact",3.6,2.93333333333333,2,2,1.1,3.4,3.8,3.6,1,4,1.1,1.5
"9384",23,"Belgium",4,1,1,1,4,1,4,4,4,3,3,2,4,4,3,3,3,2,"Female",4,4,1,4,3,4,4,1,4,3,6,5,"Contact",3.2,2.8,2,2,1.1,3.2,3.2,3.2,10,4,1.1,15
"9385",17,"Belgium",4,2,2,1,5,2,5,2,6,2,2,3,5,5,4,5,4,4,"Female",4,4,2,4,4,4,4,2,4,4,5,5,"Contact",3.6,3.53333333333333,3,3,2.2,3.6,3.6,3.6,9,4,2.2,13.5
"9386",20,"Belgium",5,3,1,2,6,3,6,3,4,4,1,1,3,4,2,2,2,1,"Female",4,4,3,4,4,4,4,3,4,4,5,5,"Contact",3.8,3.13333333333333,3,3,2.2,3.8,3.8,3.8,15,3.66666666666667,2.2,17.5
"9387",35,"Belgium",4,3,1,3,4,5,3,3,4,4,4,4,3,3,3,3,3,3,"Female",2,3,2,3,2,3,3,2,3,2,2,2,"Contact",2.5,3.4,3,2,1.6,2.4,2.6,2.5,6,4,1.6,9
"9388",NA,"Belgium",4,1,1,2,4,2,5,2,4,1,1,2,3,3,3,3,3,3,"Female",4,4,NA,4,4,4,4,NA,4,4,6,6,"Contact",4,2.6,2,3,1.7,4,4,4,1,4,1.7,1.5
"9389",18,"Belgium",5,1,1,1,4,1,5,3,4,3,2,4,3,2,2,1,1,2,"Female",4,4,NA,3,4,4,4,NA,3,4,6,5,"Contact",3.75,2.6,2,2,1.1,3.75,3.75,3.75,8,4,1.1,12
"9390",NA,"Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"Contact",NA,NA,2,3,1.7,NA,NA,NA,4,3,1.7,2
"9391",22,"Belgium",5,4,1,1,4,1,6,5,6,2,4,3,2,3,2,3,1,3,"Female",3,3,3,3,4,3,3,3,3,4,5,5,"Contact",3.2,3.13333333333333,3,4,2.8,3.2,3.2,3.2,6,3.5,2.8,6
"9392",18,"Belgium",5,4,1,1,5,1,4,2,3,3,2,2,3,2,2,1,3,2,"Female",4,4,NA,4,4,4,4,NA,4,4,6,5,"Contact",4,2.6,2,2,1.1,4,4,4,2,4,1.1,3
"9393",24,"Belgium",1,2,1,1,1,1,4,4,4,3,NA,3,1,1,1,1,1,1,"Female",4,4,2,4,4,4,4,2,4,4,6,5,"Contact",3.6,1.78571428571429,3,2,1.6,3.6,3.6,3.6,1,3,1.6,0.5
"9394",22,"Belgium",5,5,2,1,6,3,3,4,4,2,3,3,3,3,3,3,2,3,"Female",4,4,2,3,4,4,4,2,3,4,6,6,"Contact",3.4,3.26666666666667,3,3,2.2,3.4,3.4,3.4,8,3.5,2.2,8
"9395",23,"Belgium",5,5,2,2,6,3,3,4,4,4,2,3,4,4,4,4,4,4,"Female",3,4,3,4,4,2,2,2,3,3,2,4,"Contact",3,3.66666666666667,2,3,1.7,3.6,2.4,3,3,4.5,1.7,6
"9396",20,"Belgium",6,3,1,1,6,3,5,3,5,3,5,3,3,3,2,3,2,2,"Female",3,4,2,3,3,3,4,3,4,4,5,3,"Contact",3.3,3.46666666666667,2,2,1.1,3,3.6,3.3,13,4.5,1.1,26
"9397",20,"Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Contact",NA,NA,2,5,2.9,NA,NA,NA,3,4.5,2.9,6
"9398",NA,"Belgium",5,1,1,1,5,3,2,4,2,2,1,2,4,3,3,4,2,2,"Female",4,4,3,4,4,4,4,3,4,4,5,5,"Contact",3.8,2.6,3,3,2.2,3.8,3.8,3.8,6,3,2.2,3
"9399",22,"Belgium",3,5,1,2,4,2,5,4,4,4,1,5,4,4,3,3,3,2,"Female",3,3,2,4,4,3,3,2,3,3,6,4,"Contact",3,3.33333333333333,4,4,3.3,3.2,2.8,3,4,3,3.3,2
"9400",23,"Belgium",4,1,1,1,4,1,4,3,4,2,1,2,4,4,2,1,1,1,"Female",4,4,3,4,4,4,4,3,4,3,5,4,"Contact",3.7,2.4,3,4,2.8,3.8,3.6,3.7,3,4,2.8,4.5
"9401",22,"Belgium",4,5,1,1,4,2,5,4,5,3,3,4,3,3,3,3,1,3,"Female",4,4,4,4,4,4,4,4,4,4,6,6,"Contact",4,3.26666666666667,3,3,2.2,4,4,4,5,4,2.2,7.5
"9402",23,"Belgium",6,2,1,1,6,1,5,4,2,1,1,1,1,1,1,1,1,1,"Female",4,4,4,4,4,4,4,4,4,4,6,5,"Contact",4,2.06666666666667,2,2,1.1,4,4,4,2,5,1.1,5
"9403",19,"Belgium",4,3,2,1,4,4,5,5,3,2,3,2,4,4,4,4,4,4,"Female",3,2,2,3,3,3,2,2,3,3,4,4,"Contact",2.6,3.26666666666667,3,4,2.8,2.6,2.6,2.6,1,3,2.8,0.5
"9404",19,"Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,"Contact",NA,NA,3,3,2.2,NA,NA,NA,3,4,2.2,4.5
"9405",30,"Belgium",4,5,2,2,6,4,5,3,5,5,3,4,4,4,3,3,3,3,"Female",4,4,3,4,4,4,4,3,4,4,6,5,"Contact",3.8,3.93333333333333,2,3,1.7,3.8,3.8,3.8,4,4.33333333333333,1.7,7.33333333333333
